name,family,lookback,side_n,rebalance,split,cagr,total_return,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,annual_turnover,stress_cagr,stress_total_return,stress_sharpe,stress_max_drawdown,stress_avg_month,stress_worst_month,stress_positive_month_pct,stress_month_ge_10_pct,stress_annual_turnover
past_trough_reversal_lb90_n1_r1,past_trough_reversal,90,1,1,test,-0.05467061920575622,-0.08484514759154593,-0.08684594356855976,-0.27322788658370656,-0.0012940219472562578,-0.16568337148697587,0.47368421052631576,0.05263157894736842,112.87239583333333,-0.096414268851709,-0.14775669751053955,-0.260920706564189,-0.2833686186496024,-0.005115139714707948,-0.16702797533762914,0.47368421052631576,0.05263157894736842,112.87239583333333
past_trough_reversal_lb90_n1_r3,past_trough_reversal,90,1,3,train,-0.5021713042953695,-0.6434248934405706,-1.5255416875472598,-0.7071875714319533,-0.05097190551226252,-0.2682622781178534,0.2222222222222222,0.05555555555555555,45.31805555555556,-0.511150630880087,-0.6528923758206066,-1.5701462828853683,-0.7147403365958981,-0.05238279990739127,-0.26885062237098956,0.2222222222222222,0.05555555555555555,45.31805555555556
past_trough_reversal_lb90_n1_r3,past_trough_reversal,90,1,3,test,-0.05528349633769214,-0.08578063050726692,-0.10883964168682726,-0.2634702886032424,-0.0024990837037243783,-0.15190724866408067,0.42105263157894735,0.10526315789473684,59.60677083333333,-0.07755466336719052,-0.1195365812290482,-0.2061141720193792,-0.27116335443089234,-0.00449664755041857,-0.15258267563411942,0.42105263157894735,0.10526315789473684,59.60677083333333
past_trough_reversal_lb90_n1_r7,past_trough_reversal,90,1,7,train,-0.48681313117780833,-0.6270419984863407,-1.3092824051026142,-0.7287264201629542,-0.048815072232824525,-0.2335978812869196,0.2222222222222222,0.05555555555555555,31.11388888888889,-0.4931618923603961,-0.6338432205863531,-1.3379752080802276,-0.7333595306446479,-0.049796985018969175,-0.23390143992804702,0.2222222222222222,0.05555555555555555,31.11388888888889
past_trough_reversal_lb90_n1_r7,past_trough_reversal,90,1,7,test,-0.022789807982972365,-0.03570250995730995,0.04800967363251724,-0.2273354637729338,0.001362671426792998,-0.20301108950955515,0.631578947368421,0.05263157894736842,37.412760416666664,-0.03729028916668298,-0.058170830083184355,-0.00796967310784806,-0.2291878710794084,0.00010259797578439731,-0.20301108950955515,0.631578947368421,0.05263157894736842,37.412760416666664
past_trough_reversal_lb90_n2_r1,past_trough_reversal,90,2,1,train,-0.4652257769375885,-0.6036156501674155,-1.7674948389619973,-0.6780496242419543,-0.046221572302087954,-0.20407990510003127,0.4444444444444444,0.0,62.22777777777778,-0.4784304758619352,-0.6180001238478883,-1.8432105318981213,-0.6884906049579782,-0.04819415846124499,-0.2060070225679742,0.4444444444444444,0.0,62.22777777777778
past_trough_reversal_lb90_n2_r1,past_trough_reversal,90,2,1,test,-0.0507393568275345,-0.07883623129683692,-0.12524582910519552,-0.25847716304422896,-0.0030497776978448514,-0.11094421951053635,0.5263157894736842,0.0,89.09309895833333,-0.08402344436801934,-0.129253867036891,-0.2870047877337426,-0.269419632794644,-0.0059967849527036215,-0.11184652517979343,0.5263157894736842,0.0,89.09309895833333
past_trough_reversal_lb90_n2_r3,past_trough_reversal,90,2,3,train,-0.4208448585216803,-0.5540289657797394,-1.5786993442347406,-0.6341047878928847,-0.04013311847104113,-0.199267848748664,0.3888888888888889,0.0,36.863194444444446,-0.42936909726371075,-0.5636991580133333,-1.6246812333676777,-0.6411038651924212,-0.041312492652253396,-0.19959037374988908,0.3888888888888889,0.0,36.863194444444446
past_trough_reversal_lb90_n2_r3,past_trough_reversal,90,2,3,test,-0.06052539241988719,-0.09376743888769068,-0.1757140197699892,-0.2879069298975445,-0.0040063920787726135,-0.08684227905515374,0.42105263157894735,0.0,49.14388020833333,-0.078821111121124,-0.12144212147996514,-0.2659715772557565,-0.2937359918136898,-0.005629130113996794,-0.08720518425704049,0.42105263157894735,0.0,49.14388020833333
past_trough_reversal_lb90_n2_r7,past_trough_reversal,90,2,7,train,-0.26754963362453776,-0.3689224067259358,-0.7866411103525691,-0.5144916353789488,-0.022271631481891936,-0.17182213462283968,0.5,0.0,25.364583333333336,-0.2749434996210365,-0.3783180775650612,-0.8177025272428424,-0.5158469997023627,-0.023094162904499622,-0.17198614713130678,0.5,0.0,25.364583333333336
past_trough_reversal_lb90_n2_r7,past_trough_reversal,90,2,7,test,0.08507511622193165,0.13741822768053846,0.5088077895882934,-0.13184166707001788,0.00827745767377332,-0.08112996856504273,0.5263157894736842,0.0,33.608072916666664,0.07055905337650437,0.11351487243594649,0.4411667503588684,-0.13254951465776266,0.007149306548775863,-0.08334388266097326,0.5263157894736842,0.0,33.608072916666664
past_trough_reversal_lb90_n3_r1,past_trough_reversal,90,3,1,train,-0.357298501369518,-0.4798203016476361,-1.4636595029894524,-0.6203772894710016,-0.031056851033554416,-0.24178800065342698,0.5,0.05555555555555555,50.27824074074074,-0.37013758851276035,-0.4951098294852825,-1.5357107694275924,-0.6305032077234575,-0.032650210306140355,-0.24312046967980216,0.5,0.05555555555555555,50.27824074074074
past_trough_reversal_lb90_n3_r1,past_trough_reversal,90,3,1,test,-0.05016281837640579,-0.07795378559191901,-0.18335837917152442,-0.18335036886967504,-0.0035656392121955014,-0.08264039507229448,0.631578947368421,0.0,70.59809027777776,-0.07664164905621695,-0.11816189209714212,-0.3353412089119918,-0.18423706268410533,-0.005883563524424014,-0.08730248356399006,0.5789473684210527,0.0,70.59809027777776
past_trough_reversal_lb90_n3_r3,past_trough_reversal,90,3,3,train,-0.2882752189078621,-0.3951434784318587,-1.096718082974177,-0.521092512527502,-0.02437585810051074,-0.215200115706493,0.5555555555555556,0.0,32.91759259259259,-0.29760067824503433,-0.4068236044692066,-1.1443903757829101,-0.5294004478688367,-0.025435203309480386,-0.21594914676201526,0.5555555555555556,0.0,32.91759259259259
