candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
lowvol_momentum_126-3-21,lowvol_momentum,full,0.19990160078275188,1.0891627951411544,-0.17203755014089872,0.016443259631286657,0.005919633159767401,-0.08811989721217173,0.336228494968386,0.5263157894736842,0.05263157894736842,152
risk_managed_momentum_126-5-5-20-150,risk_managed_momentum,train,0.21391650526051786,1.098426448780223,-0.2196277771553955,0.01780799351472227,0.011198096905330357,-0.12840015595731868,0.1804084660868468,0.5277777777777778,0.06481481481481481,108
risk_managed_momentum_126-5-5-20-150,risk_managed_momentum,test,0.33351041419697447,1.401012343516038,-0.18345462395696976,0.025654425700961627,0.011414227639764296,-0.07360857511617525,0.176410512651491,0.5681818181818182,0.1590909090909091,44
risk_managed_momentum_126-5-5-20-150,risk_managed_momentum,full,0.2467782193740784,1.1909538607019217,-0.25551905902315164,0.02007932914758103,0.011414227639764296,-0.12840015595731868,0.1804084660868468,0.5394736842105263,0.09210526315789473,152
risk_managed_momentum_126-5-5-35-200,risk_managed_momentum,train,0.3490260582366951,1.1311880902693623,-0.36196152160707207,0.029069140939279547,0.016346313740876584,-0.1877865036936176,0.28380171282752786,0.5370370370370371,0.18518518518518517,108
risk_managed_momentum_126-5-5-35-200,risk_managed_momentum,test,0.5845602864246116,1.4101063910218044,-0.2893155432938451,0.043974714084715365,0.01719056745553793,-0.12665091711966958,0.3048860731607477,0.5681818181818182,0.36363636363636365,44
risk_managed_momentum_126-5-5-35-200,risk_managed_momentum,full,0.4121718441893576,1.217040528296235,-0.4116397240883477,0.03338391211295834,0.016346313740876584,-0.1877865036936176,0.3048860731607477,0.5460526315789473,0.23684210526315788,152
lowvol_momentum_126-5-5,lowvol_momentum,train,0.18784694435045357,1.179696543341516,-0.1518800691906237,0.015361595685288542,0.0036538761858415647,-0.08538580853061695,0.2041192998416146,0.5092592592592593,0.05555555555555555,108
lowvol_momentum_126-5-5,lowvol_momentum,test,0.2100649594687678,1.1179631290590402,-0.1518819815319018,0.017079035059445257,0.013198872855797239,-0.07632636836779738,0.16595497924478275,0.5909090909090909,0.09090909090909091,44
lowvol_momentum_126-5-5,lowvol_momentum,full,0.1941210377126945,1.156268604193152,-0.19265529169532958,0.015858749188333906,0.005708550951630587,-0.08538580853061695,0.2041192998416146,0.5328947368421053,0.06578947368421052,152
risk_managed_momentum_126-5-21-20-150,risk_managed_momentum,train,0.23424515605606966,1.1758994268445335,-0.2868235931767342,0.019322258197413823,0.009449060795328701,-0.15383596203384742,0.19114069619226104,0.5462962962962963,0.08333333333333333,108
